item_code,name,title,manufacturer,material,release_month,size,information,img_url,cost,storage_fees,genre
DT-DMS-0001,코토부키야 (Kotobukiya) 1/8스케일 ARTFX J 귀멸의 칼날 아가츠마 젠이츠(특전포함),귀멸의 칼날,코토부키야(Kotobukiya),PVC & ABS,,166mm,,/assets/items/DT-DMS-0001.jpg,140000.0,3000,Anime
DT-DMS-0002,코토부키야 1/8스케일 ARTFX J 귀멸의 칼날 카마도 네즈코 (특전포함),귀멸의 칼날,코토부키야(Kotobukiya),PVC & ABS,,143mm,,/assets/items/DT-DMS-0002.jpg,110000.0,3000,Anime
DT-DMS-0003,반다이(BANDAI) Figuarts ZERO 귀멸의 칼날 칸로지 미츠리,귀멸의 칼날,반다이 (BANDAI),ABS & PVC,,약 220mm,,/assets/items/DT-DMS-0003.jpg,150000.0,3000,Anime
DT-DMS-0004,반다이 피규어아츠제로 귀멸의 칼날 하시비라 이노스케 짐승의 호흡,귀멸의 칼날,반다이 (BANDAI),ABS & PVC,,160mm,,/assets/items/DT-DMS-0004.jpg,300000.0,3000,Anime
DT-DMS-0005,"제일복권 귀멸의 칼날 최고위의 검사 ""주"" 하시라 B상 토미오카 기유 마스터 라이즈 피규어",귀멸의 칼날,반프레스토 (BANPRESTO),PVC & ABS,,26cm,,/assets/items/DT-DMS-0005.jpg,75000.0,3000,Anime
DT-DMS-0006,제일복권 귀멸의 칼날 ~ 오니가 서있는 거리 ~ 라스트원상 우즈이 텐겐 라스트 원Ver.,귀멸의 칼날,반프레스토 (BANPRESTO),PVC & ABS,,15cm,,/assets/items/DT-DMS-0006.jpg,68000.0,3000,Anime
DT-DMS-0007,제일복권 귀멸의 칼날 상현의 삼 피규어 라스트원상 아카자 (라스트원ver.),귀멸의 칼날,반프레스토 (BANPRESTO),,,,,/assets/items/DT-DMS-0007.jpg,150000.0,3000,Anime
DT-DMS-0008,제일복권 귀멸의 칼날 라스트 원상 코쵸우 시노부,귀멸의 칼날,반프레스토 (BANPRESTO),,,15㎝,,/assets/items/DT-DMS-0008.jpg,52000.0,3000,Anime
DT-DMS-0009,세가 (SEGA) 귀멸의 칼날 Xross Link 피규어 카마도 탄지로,귀멸의 칼날,세가 (SEGA),,,,,/assets/items/DT-DMS-0009.jpg,41000.0,3000,Anime
DT-DMS-0010,알터 (Alter) 1/8스케일 귀멸의 칼날 츠유리 카나오,귀멸의 칼날,알터 (Alter),PVC ＆ ABS,,210mm,,/assets/items/DT-DMS-0010.jpg,147000.0,3000,Anime
DT-DMS-0011,후류 (FURYU) 귀멸의 칼날 누들 스토퍼 피규어 하시비라 이노스케 피규어,귀멸의 칼날,후류 (FURYU),,2025-08,,,/assets/items/DT-DMS-0011.jpg,25000.0,3000,Anime
DT-MHA-0001,코토부키야 (Kotobukiya) 1/8스케일 ARTFX J 나의 히어로 아카데미아 토가 히미코,나의 히어로 아카데미아,코토부키야(Kotobukiya),PVC & ABS,,195mm,,/assets/items/DT-MHA-0001.jpg,254000.0,3000,Anime
DT-MHA-0002,제일복권 나의 히어로 아카데미아 THE MOVIE WORLD HEROES 'MISSION B상 MASTERLISE EMOVING 바쿠고 카츠키,나의 히어로 아카데미아,반프레스토 (BANPRESTO),PVC & ABS,,240mm,,/assets/items/DT-MHA-0002.jpg,135000.0,3000,Anime
DT-MHA-0003,반프레스토 나의 히어로 아카데미아 THE AMAZING HEROES Vol.5 올마이트,나의 히어로 아카데미아,반프레스토 (BANPRESTO),PVC & ABS,,,,/assets/items/DT-MHA-0003.jpg,56000.0,3000,Anime
DT-MHA-0004,[일본내수용] 반프레스토 나의 히어로 아카데미아 AGE OF HEROES 토도로키 쇼토,나의 히어로 아카데미아,반프레스토 (BANPRESTO),PVC & ABS,,170mm,,/assets/items/DT-MHA-0004.jpg,33000.0,3000,Anime
DT-MHA-0005,반프레스토 나의 히어로 아카데미아 AGE OF HEROES 엔데버,나의 히어로 아카데미아,반프레스토 (BANPRESTO),PVC & ABS,,,,/assets/items/DT-MHA-0005.jpg,63000.0,3000,Anime
DT-MHA-0006,제일복권 나의 히어로 아카데미아 ULTRA IMPACT G상 호크스 ULTRA IMPACT,나의 히어로 아카데미아,반프레스토 (BANPRESTO),PVC & ABS,,16cm,,/assets/items/DT-MHA-0006.jpg,57000.0,3000,Anime
DT-MHA-0007,후류 (FURYU) TENITOL 나의 히어로 아카데미아 피규어 다비,나의 히어로 아카데미아,후류 (FURYU),플라스틱,,높이 약 225mm (제조사 제공 스펙),,/assets/items/DT-MHA-0007.jpg,84000.0,3000,Anime
DT-MHA-0008,타카라토미아츠 1/8스케일 나의 히어로 아카데미아 시가라키 토무라,나의 히어로 아카데미아,타카라토미 (takaratomy),PVC & ABS,,230mm,,/assets/items/DT-MHA-0008.jpg,280000.0,3000,Anime
DT-MHA-0009,반다이(BANDAI) S.H.Figuarts 나의 히어로 아카데미아 우라라카 오챠코,나의 히어로 아카데미아,반다이 (BANDAI),"ABS, PVC",2025-10,높이 약 130mm,,/assets/items/DT-MHA-0009.jpg,130000.0,3000,Anime
DT-ONE-0001,제일복권 원피스 미래섬 에그헤드 너를 향한 마음 피규어 B상 볼사리노,원피스,반프레스토 (BANPRESTO),,,,,/assets/items/DT-ONE-0001.jpg,87000.0,3000,Anime
